time,temperature_2m_max,temperature_2m_min,temperature_2m_avg
2023-01-01,29.0,21.9,25.45
2023-01-02,30.9,20.8,25.85
2023-01-03,33.3,23.4,28.349999999999998
2023-01-04,32.9,23.9,28.4
2023-01-05,25.1,22.8,23.950000000000003
2023-01-06,22.9,20.9,21.9
2023-01-07,22.5,20.6,21.55
2023-01-08,25.1,20.6,22.85
2023-01-09,25.5,21.9,23.7
2023-01-10,27.0,22.3,24.65
2023-01-11,30.2,22.0,26.1
2023-01-12,31.9,23.2,27.549999999999997
2023-01-13,33.4,24.2,28.799999999999997
2023-01-14,33.7,24.0,28.85
2023-01-15,33.4,24.3,28.85
2023-01-16,31.6,23.4,27.5
2023-01-17,30.9,23.5,27.2
2023-01-18,30.4,23.1,26.75
2023-01-19,30.7,23.2,26.95
2023-01-20,30.0,22.1,26.05
2023-01-21,28.5,22.8,25.65
2023-01-22,30.7,21.9,26.299999999999997
2023-01-23,32.5,23.3,27.9
2023-01-24,27.5,23.0,25.25
2023-01-25,27.9,22.5,25.2
2023-01-26,27.7,21.7,24.7
2023-01-27,29.6,22.4,26.0
2023-01-28,31.5,23.1,27.3
2023-01-29,33.1,23.4,28.25
2023-01-30,32.5,24.7,28.6
2023-01-31,32.4,23.8,28.1
2023-02-01,31.2,24.2,27.7
2023-02-02,33.3,24.1,28.7
2023-02-03,34.4,24.6,29.5
2023-02-04,34.6,24.4,29.5
2023-02-05,33.9,24.8,29.35
2023-02-06,32.4,25.5,28.95
2023-02-07,30.6,23.9,27.25
2023-02-08,27.3,23.0,25.15
2023-02-09,29.4,22.4,25.9
2023-02-10,32.0,22.9,27.45
2023-02-11,31.5,23.8,27.65
2023-02-12,30.2,23.5,26.85
2023-02-13,30.8,23.9,27.35
2023-02-14,32.4,23.7,28.049999999999997
2023-02-15,34.4,24.0,29.2
2023-02-16,33.2,24.2,28.700000000000003
2023-02-17,33.9,25.1,29.5
2023-02-18,32.6,23.8,28.200000000000003
2023-02-19,29.4,23.5,26.45
2023-02-20,29.9,22.3,26.1
2023-02-21,32.9,22.8,27.85
2023-02-22,30.2,23.2,26.7
2023-02-23,30.3,23.6,26.950000000000003
2023-02-24,31.7,23.6,27.65
2023-02-25,34.8,23.0,28.9
2023-02-26,36.4,25.0,30.7
2023-02-27,31.0,25.3,28.15
2023-02-28,30.8,24.4,27.6
2023-03-01,30.3,23.0,26.65
2023-03-02,33.3,23.1,28.2
